institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
University of Utah,UT,-111.846044,40.762484,Gold,65.48,35.86,14.63,16.08,14.74,6.11,2.14,4.16,4.51,4.38,8.7,3.96,4.44,1051841092,1534,40349.5,8.49,10.58,23383.29,0.12,30.83,13.52,14.6,4.31,30,5,Mid-size city,"The primary dining service hosts ‚ÄúLove Food Not Waste\ an annual educational event in the Heritage Center that promotes reducing food waste in the dining halls. Catering events hosted by the dining service use reusable dishes. The Feed U Pantry the food pantry located on campus partners with dining services to host monthly cooking demo events that highlight vegetarian meals made from items most frequently found in the pantry. The Heritage Center also does monthly cooking demos called \""Teaching Kitchen.\"" Those demos are plant-forward and low-impact using the reusable dishes at the dining hall.""",NA,NA
University of Vermont,VT,-73.196646,44.477325,Gold,74.8,32.29,14.03,18.44,13.58,7.09,3.58,3.91,4.89,7.25,8.42,3.38,5.14,538906000,4315,13824.75,19.71,25.72,8622.8,0.18,50.61,12.5,25.72,3.6,32.36,6,Mid-size city,Each semester UVM Dining serves entrees at every dining location for every meal period that use primarily Real Food Challenge approved ingredients. These ‚ÄúReal Meals‚Äù are served at all 17 dining locations for Earth Day each year.Many dining locations offer Meatless Monday specials (in addition to the regularly available vegan and vegetarian items).,NA,NA
University of Washington Seattle Campus,WA,-122.30514,47.65538,Gold,77.18,21.61,9.72,11.77,9.36,4.69,2.66,2.7,0.75,6.5,6.3,1,3.5,3.38E+09,792,66298.25,28.52,1.79,7528.27,0.18,60.93,17.6,31.5,NA,NA,4,Large city,NA,NA,NA
University of West Georgia,GA,-85.097762,33.573621,Silver,46.9,15.06,2.91,3.5,6.28,3.3,0.67,2.78,1.13,2.75,5.67,0,1.57,27919873,673,9691,10.77,NA,5646.22,0.23,16.07,7.82,NA,2.6,NA,2,Large town,NA,No,NA
University of Wyoming,WY,-105.57931,41.311773,Bronze,26.1,21.68,12.74,12.17,12.48,5.57,2.92,4.12,1.2,3.88,6.76,0,2,476274236,15704,9483.53,2.46,0.04,NA,0.15,19.63,4.58,NA,13.15,NA,6,Large town,NA,No,NA
Utah State University,UT,-111.81391,41.740748,Silver,54.7,30.83,15.35,16.76,12.78,6.96,2.61,3,2,7.75,8.89,3.67,1.66,358965147,875.2,14974.25,5.03,0.71,10120.84,0.17,21.15,26.3,NA,4.51,NA,6,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday‚Äôs dinner.,NA,NA
Vassar College,NY,-73.895088,41.686895,Gold,69.13,18.26,12.67,13.23,14.92,4.65,2.32,3.21,2.28,4,8.3,2.01,2.74,1.00E+09,1000,3208.33,46.96,NA,NA,0.54,18.88,24.64,NA,4.41,NA,5,Urban fringe of mid-size city,Yes we host a number of low impact dining events including Earth Week and an Annual Farmworker Awareness Week.,NA,197133
Villanova University,PA,-75.345457,40.039388,Silver,50.8,20.94,13.78,14.21,17.13,4.25,2.96,2.34,1.24,6.5,7.79,0,3.41,640428000,265,9551.75,4.78,0,12943.68,0.25,29.62,22.06,7.6,4.52,NA,4,Urban fringe of large city,NA,No,NA
Virginia Commonwealth University,VA,-77.452697,37.54962,Silver,60.83,33,16,13.51,11.17,6.3,2.87,4.89,4.71,7,4.53,5,3.25,1.64E+09,157.6,27529.5,5.66,0.42,11019.6,0.22,49.85,11.66,2,4.37,NA,4,Mid-size city,NA,No,NA
Warren Wilson College,NC,-82.442619,35.610328,Gold,68.39,0,0,0,0,0,0,0,0,0,0,0,0,52700000,1050,820.75,31.86,0.26,17407.01,0.3,76.51,76.36,10.28,3.17,69.81,4,Small town,"The student Local foods Crew hosts events such as \Meatless Mondays\"" and a \""Waste Buffet\"" to visualize post-consumer waste on campus. The zero food waste challenge is very important on campus. Additionally we have our vegan/vegetarian Cowpie Cafe open for lunch and dinner each day.""",NA,199865
Washington and Lee University,VA,-79.443018,37.788939,Silver,55.1,8.45,0,7.5,1.24,1.83,2.19,3.12,1.5,2.75,4.76,0,4.07,1.60E+09,414.5,2605.25,11.51,0.89,11491.77,0.32,13.77,40.61,0.15,5.45,0.15,4,Rural,W&L's largest venue The Marketplace hosts a seasonal 100% locally-sourced meal at the beginning of the year to highlight the sustainable aspects of locally sourced food.,NA,234207
Washtenaw Community College,MI,-83.66559,42.26361,Bronze,28.79,0,0,0,0,0,0,0,0,0,0,0,0,0,291,5724.75,1.75,0,2419.57,0.06,37.22,NA,NA,NA,NA,4,Mid-size city,NA,No,NA
Weber State University,UT,-111.944845,41.192591,Silver,49.65,23.56,13.62,20.25,13.32,5.23,1.4,2.46,3,5.5,6.35,2.84,4.04,120296092,512.4,9410.75,2.2,8.92,7980.02,0.11,35.62,12.61,9,1.45,NA,5,Mid-size city,The Wildcat room has a Meatless Monday program.,Yes,NA
Wellesley College,MA,-71.306605,42.291554,Gold,66.38,22.77,11.2,5.57,11.2,6.53,0.87,4.73,1.88,6.75,6.34,0,4.37,2.00E+09,500,3191,12.07,0.88,25763.99,0.76,59.43,16.45,13,8.56,NA,5,Large town,NA,No,168218
West Virginia University,WV,-78.981441,39.438323,Silver,46.13,0,0,0,0,0,0,0,0,0,0,0,0,589835000,10651.53,25747,1.41,NA,10459.82,0.17,26.16,20.62,2.17,6.13,21.98,5,Large town,WVU Dining typically hosts a 100-Mile Dinner at it's largest dining hall each academic year where plant-foward options are served and main ingredients are sourced within 100 miles from campus. Farmer's Market Fall Harvest Days is another multi-day dining event that highlights dishes from local farms.,NA,NA
Western Colorado University,CO,-106.919132,38.549936,Silver,46.82,19.67,8.45,14.57,8.46,6.7,3.25,4.47,1.88,4.75,3.58,0,3.1,2.60E+07,117,2040,6.21,16.97,10120.9,0.2,24.31,11.36,NA,3.06,NA,7,Rural,NA,No,NA
Western Kentucky University,KY,-86.456828,36.985035,Silver,53.79,20.72,17.21,16.7,12.06,0.5,2.4,0,2.1,5.63,7.86,0,4.34,1.98E+08,229.73,12236.28,4.62,NA,NA,0.19,36.96,31.43,0,5.29,3.2,4,Mid-size city,Each Monday is meatless-Monday and fish-Friday at Fresh Food Co.,NA,NA
Western Michigan University,MI,-85.613759,42.282194,Silver,61.14,26,14.07,16.62,15.16,4.68,4.06,2.83,1.75,2.25,7.65,0.87,2.34,386600000,1200,14873.25,10.82,0.18,9817.33,0.15,29.99,24.08,NA,5.93,NA,4,Urban fringe of mid-size city,NA,No,NA
Western Technical College,TX,-106.319269,31.675953,Silver,58.64,27,0,13.02,11.06,6.1,4.46,6.76,3.07,4.75,3.22,0,3.94,0,204,2576.91,28.75,18.93,3554.92,0.08,27.54,16.4,2,1.49,31.51,6,Large town,Western promotes a vegetarian menu on the Union Market website as well as physically in the Union Market marking menu items that are plant-based.,NA,NA
Western Washington University,WA,-122.485734,48.737812,Silver,60.52,22.12,11.97,13.93,11.52,9.76,3.08,4.98,2.73,7,6.97,0,1.97,57100000,212,13269.75,3.7,22.9,4824.82,0.16,24.93,42.24,18.42,0.94,NA,4,Mid-size city,NA,No,NA
Whitman College,WA,-118.331546,46.069815,Silver,53.78,22.1,10.67,6,7.15,9.61,3.85,4.85,4.07,5.75,6.56,0.42,2.67,565255655,117,1711.55,20.98,53.22,17964.19,0.18,52.3,7.49,12.21,0.14,59.69,5,Large town,"Eat Local Challenge:Lamb Chop - Upper Dry Creek Ranch Weston ORAmarosa fingerling potatoes � Hayshaker Farm College Place WAWilted rainbow chard ‚Äì frog hollow farm Walla Walla WAPresident plums ‚Äì Edwards farms Milton Freewater ORGrapeseed oil ‚Äì Apres Vin Yakima/Prosser WAWalla Walla Onions Locati Farm Walla Walla WA""",NA,237057
Williams College,MA,-73.203132,42.712725,Silver,50.03,17.94,7.09,12.76,6.23,5.86,2.58,4.36,2.54,1.5,8.88,3,4.61,2807370636,450,2986.5,7.83,0.03,13402.39,0.32,23.51,5.86,15,6.22,NA,6,Small town,Driscoll Dining hosts Meatless Mondays every Monday throughout the school year.,Yes,168342
Worcester Polytechnic Institute,MA,-71.808339,42.274853,Gold,65.01,33.27,16,20,13.8,7.67,2.26,4.8,2.79,5.75,8.71,0,3.59,528287000,97,5423.25,14.44,1.4,7266.1,0.15,33.8,65.99,15,2.06,NA,6,Mid-size city,Plant-Based Monday is a highlight each Monday at Morgan Dining Hall.  Two hot lines serve only vegetarian/vegan options for lunch.,Yes,NA
Yale University,CT,-72.926688,41.311158,Gold,68.79,28.49,18,13.81,18.63,5.06,1.54,2.82,3.98,6.63,8.31,3.25,2.52,3.03E+10,657.94,23338.75,6.22,0,23911.48,0.34,41.05,65.99,12,9.03,42,5,Mid-size city,Individual colleges host week-long carbon awareness campaigns that are accompanied by signage and surveys. By offering a wide variety of meatless options at every meal and supporting those offerings with educational materials Yale offers low impact dining daily.,NA,NA
